Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2019,Jan. 2019,Feb. 2019,Mar. 2019,Apr. 2019,May 2019,Jun. 2019,Jul. 2019,Aug. 2019,Sep. 2019,Oct. 2019,Nov. 2019,Dec. 2019,TOTAL
Motor vehicle and parts dealers,87114,89009,109845,103156,111772,104743,109269,114659,99537,103801,101101,103463,1237469
Automobile and other motor vehicle dealers,80026,82022,101593,95035,103357,96728,100916,106073,91783,95254,93242,96073,1142102
Automobile dealers,75271,76634,93879,86774,94030,87931,92447,98149,85390,89148,87851,91114,1058618
New car dealers,66443,66959,82023,76429,83481,77853,82192,87792,75986,79452,78496,82445,939551
Used car dealers,8828,9675,11856,10345,10549,10078,10255,10357,9404,9696,9355,8669,119067
"Automotive parts, acc., and tire stores",7088,6987,8252,8121,8415,8015,8353,8586,7754,8547,7859,7390,95367
"Furniture, home furn, electronics, and appliance stores",16314,15425,17521,16260,17643,17020,17613,18383,17477,17599,20767,22810,214832
Furniture and home furnishings stores,8648,8445,9846,9360,10069,9539,9944,10345,9839,9995,10782,11003,117815
Furniture stores,4454,4428,5325,4863,5342,5098,5259,5452,5363,5186,5523,5163,61456
Home furnishings stores,4194,4017,4521,4497,4727,4441,4685,4893,4476,4809,5259,5840,56359
All other home furnishings stores,2253,2094,2360,2280,2460,2190,2422,2527,2271,2448,3068,3803,30176
Electronics and appliance stores,7666,6980,7675,6900,7574,7481,7669,8038,7638,7604,9985,11807,97017
Household appliance stores,1161,1137,1287,1262,1414,1342,1461,1405,1307,1356,1455,1383,15970
Electronics stores,6505,5843,6388,5638,6160,6139,6208,6633,6331,6248,8530,10424,81047
Building mat. and garden equip. and supplies dealers,27578,24888,30900,35122,38372,34575,34755,33434,30948,33719,30731,29493,384515
Building mat. and supplies dealers,24258,21800,26709,30152,33158,30187,30901,29887,27570,29701,27087,25787,337197
Paint and wallpaper stores,910,854,1022,970,1175,1153,1223,1230,1122,1132,916,808,12515
Hardware stores,1974,1802,2202,2358,2635,2401,2346,2338,2143,2357,2156,2158,26870
Food and beverage stores,62320,56383,62935,61781,65842,63795,65690,66165,61668,64051,65442,68992,765064
Grocery stores,56547,50662,56503,55315,58830,56948,58557,59028,55217,57258,58185,59812,682862
Supermarkets and other grocery (except convenience) stores,54271,48448,53946,52704,55962,54137,55659,56125,52480,54493,55557,57185,650967
"Beer, wine, and liquor stores",4134,4116,4673,4580,5109,5011,5245,5270,4680,4913,5312,6630,59673
Health and personal care stores,29640,27825,29997,29671,30847,28966,29508,29973,28706,31088,29312,33194,358727
Pharmacies and drug stores,25037,23240,24577,24806,25717,23745,24531,24710,23630,26097,23964,26509,296563
Gasoline stations,35414,34549,40960,43144,46218,43823,45450,45043,41936,43602,40730,40203,501072
Clothing and clothing access. stores,16201,17932,21953,21416,22938,20960,21650,23743,19464,21177,24928,34541,266903
Clothing stores,11856,12317,15973,15579,16504,15410,15666,16708,14157,15773,18592,23598,192133
Men's clothing stores,585,514,642,737,747,645,581,617,662,674,714,863,7981
Women's clothing stores,2511,2680,3585,3604,3807,3272,3261,3325,3080,3390,3850,4496,40861
Family clothing stores,6649,6932,9070,8770,9403,9016,9264,10067,8219,9359,11269,14517,112535
Other clothing stores,1113,1138,1356,1189,1283,1374,1343,1352,1124,1176,1413,1920,15781
Shoe stores,2360,2925,3552,3243,3254,3008,3361,4280,2762,2851,3265,4296,39157
Jewelry stores,1773,2464,2178,2351,2866,2260,2367,2480,2293,2313,2761,6113,32219
"Sporting goods, hobby, musical instrument, and book stores",5628,5221,6305,6191,6445,6585,6549,7504,6276,6372,7289,9506,79871
Sporting goods stores,2696,2780,3571,3535,3671,3994,3959,4183,3276,3376,3660,5107,43808
"Hobby, toy, and game stores",1116,1073,1247,1141,1216,1154,1160,1248,1232,1382,2027,2265,16261
Book stores,1004,569,587,631,675,594,572,1088,842,627,618,1037,8844
General merchandise stores,51557,50513,58619,56815,60695,58727,58487,61460,54515,58560,66027,77648,713623
Department stores,8657,9142,10645,10456,11299,10625,10630,11550,9762,10456,13401,18403,135026
Department stores(excl. discount department stores),2464,2803,3263,3285,3488,3199,3130,3253,3045,3109,4390,6561,41990
Discount dept. stores,6193,6339,7382,7171,7811,7426,7500,8297,6717,7347,9011,11842,93036
Other general merchandise stores,42900,41371,47974,46359,49396,48102,47857,49910,44753,48104,52626,59245,578597
Warehouse clubs and superstores,36861,35460,41241,39548,42167,41281,41138,43098,38367,41175,45257,50606,496199
All other gen. merchandise stores,6039,5911,6733,6811,7229,6821,6719,6812,6386,6929,7369,8639,82398
Miscellaneous store retailers,9312,9116,10236,10736,12563,11468,11545,11998,11011,12228,11882,12525,134620
"Office supplies, stationery, and gift stores",2038,1942,2160,2180,2523,2394,2641,2818,2357,2885,2315,3006,29259
Office supplies and stationery stores,1030,846,904,864,854,779,922,1278,905,843,786,924,10935
"Gift, novelty, and souvenir stores",1008,1096,1256,1316,1669,1615,1719,1540,1452,2042,1529,2082,18324
Used merchandise stores,1415,1378,1557,1616,1466,1426,1461,1631,1553,1822,1601,1486,18412
Nonstore retailers,60263,55979,60236,61667,66131,61580,65644,65175,61761,68337,74817,93920,795510
Electronic shopping and mail-order houses,51647,48295,52458,54612,58855,54928,58814,58181,54922,60568,67037,85217,705534
Fuel dealers,3896,3320,3101,2155,1804,1464,1521,1597,1666,2176,2746,3346,28792
Food services and drinking places,56748,56868,66187,63454,67664,66031,65943,67710,62775,65005,62326,65085,765796
Restaurants and other eating places,49940,49623,57793,55206,59164,58310,58679,59318,53944,55762,54039,57086,668864
Full service restaurants,23925,23875,27197,25637,27995,27419,27305,27760,24988,25802,25405,27797,315105
Limited service eating places,26015,25748,30596,29569,31169,30891,31374,31558,28956,29960,28634,29289,353759
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,